STATE_NAME,DISTRICT_NAME,GAUL_CODE,GAUL_NAME
Chhattisgarh,NARAYANPUR,70105,Bastar
Chhattisgarh,RAIGARH,70297,Raigarh
Chhattisgarh,RAIPUR,70116,Raipur
Chhattisgarh,RAJNANDGAON,70117,Raj Nandgaon
Chhattisgarh,SUKMA,70107,Dantewada
Chhattisgarh,SURAJPUR,70118,Surguja
Chhattisgarh,SURGUJA,70118,Surguja
Dadra and Nagar Haveli,DADRA AND NAGAR HAVELI,70119,Dadra and Nagar Haveli
Goa,NORTH GOA,70122,North Goa
Goa,SOUTH GOA,70123,South Goa
Gujarat,AHMADABAD,17635,Ahmadabad
Gujarat,AMRELI,17636,Amreli
Gujarat,ANAND,70124,Anand
Gujarat,BANAS KANTHA,17637,Banas Kantha
Gujarat,BHARUCH,17638,Bharuch
Gujarat,BHAVNAGAR,17639,Bhavnagar
Gujarat,DANG,17651,The Dangs
Gujarat,DOHAD,70125,Dahod
Gujarat,GANDHINAGAR,17640,Gandhinagar
Gujarat,JAMNAGAR,17641,Jamnagar
Gujarat,JUNAGADH,17642,Junagadh
Gujarat,KACHCHH,17643,Kachchh
Gujarat,KHEDA,17644,Kheda
Gujarat,MAHESANA,17645,Mahesana
Gujarat,NARMADA,70126,Narmada
Gujarat,NAVSARI,70127,Navsari
Gujarat,PANCH MAHALS,70128,Panch Mahals
Gujarat,PATAN,70129,Patan
Gujarat,PORBANDAR,70130,Porbandar
Gujarat,RAJKOT,17647,Rajkot
Gujarat,SABAR KANTHA,17648,Sabar Kantha
Gujarat,SURAT,17649,Surat
Gujarat,SURENDRANAGAR,17650,Surendranagar
Gujarat,TAPI,17649,Surat
Gujarat,VADODARA,17652,Vadodara
Gujarat,VALSAD,17653,Valsad
Haryana,AMBALA,17654,Ambala
Haryana,BHIWANI,17655,Bhiwani
Haryana,FARIDABAD,70131,Faridabad
Haryana,FATEHABAD,70132,Fatehabad
Haryana,GURGAON,17657,Gurgaon
Haryana,HISAR,17658,Hisar
Haryana,JHAJJAR,70133,Jhajjar
Haryana,JIND,17659,Jind
Haryana,KAITHAL,70134,Kaithal
Haryana,KARNAL,17660,Karnal
Haryana,KURUKSHETRA,17661,Kurukshetra
Haryana,MAHENDRAGARH,17662,Mahendragarh
Haryana,MEWAT,17657,Gurgaon
Haryana,PALWAL,70131,Faridabad
Haryana,PANCHKULA,70135,Panchkula
Haryana,PANIPAT,70136,Panipat
Haryana,REWARI,70137,Rewari
Haryana,ROHTAK,17663,Rohtak
Haryana,SIRSA,17664,Sirsa
Haryana,SONIPAT,17665,Sonepat
Haryana,YAMUNANAGAR,70138,Yamuna Nagar
Himachal Pradesh,BILASPUR,17666,Bilaspur
Himachal Pradesh,CHAMBA,188,Chamba
Himachal Pradesh,HAMIRPUR,17668,Hamirpur
Himachal Pradesh,KANGRA,17669,Kangra
Himachal Pradesh,KINNAUR,191,Kinnaur
Himachal Pradesh,KULLU,17671,Kullu
Himachal Pradesh,LAHUL AND SPITI,193,Lahul & Spiti
Himachal Pradesh,MANDI,17673,Mandi
Himachal Pradesh,SHIMLA,17674,Shimla
Himachal Pradesh,SIRMAUR,17675,Sirmaur
Himachal Pradesh,SOLAN,17676,Solan
Himachal Pradesh,UNA,17677,Una
Jammu and Kashmir,ANANTNAG,199,Anantnag
Jammu and Kashmir,BADGAM,200,Badgam
Jammu and Kashmir,BANDIPORA,202,Baramulla
Jammu and Kashmir,BARAMULLA,202,Baramulla
Jammu and Kashmir,DODA,203,Doda
Jammu and Kashmir,GANDERBAL,219,Srinagar
Jammu and Kashmir,JAMMU,205,Jammu
Jammu and Kashmir,KARGIL,206,Kargil
Jammu and Kashmir,KATHUA,207,Kathua
Jammu and Kashmir,KISHTWAR,203,Doda
Jammu and Kashmir,KULGAM,199,Anantnag
Jammu and Kashmir,KUPWARA,210,Kupwara
Jammu and Kashmir,LEH LADAKH,211,Leh (Ladakh)
Jammu and Kashmir,POONCH,212,Poonch
Jammu and Kashmir,PULWAMA,213,Pulwama
Jammu and Kashmir,RAJAURI,214,Rajouri
Jammu and Kashmir,RAMBAN,203,Doda
Jammu and Kashmir,REASI,220,Udhampur
Jammu and Kashmir,SAMBA,205,Jammu
Jammu and Kashmir,SHOPIAN,213,Pulwama
Jammu and Kashmir,SRINAGAR,219,Srinagar
Jammu and Kashmir,UDHAMPUR,220,Udhampur
Jharkhand,BOKARO,70139,Bokaro
Jharkhand,CHATRA,70140,Chatra
Jharkhand,DEOGHAR,17600,Deoghar
Jharkhand,DHANBAD,70141,Dhanbad
Jharkhand,DUMKA,70142,Dumka
Jharkhand,EAST SINGHBUM,70153,Purba Singhbhum
Jharkhand,GARHWA,70143,Garhwa
Jharkhand,GIRIDIH,70144,Giridih
Jharkhand,GODDA,17603,Godda
Jharkhand,GUMLA,70145,Gumla
Jharkhand,HAZARIBAGH,70146,Hazaribag
Jharkhand,JAMTARA,70142,Dumka
Jharkhand,KHUNTI,17622,Ranchi
Jharkhand,KODERMA,70148,Koderma
Jharkhand,LATEHAR,70151,Palamu
Jharkhand,LOHARDAGA,17610,Lohardaga
Jharkhand,PAKUR,70150,Pakur
Jharkhand,PALAMU,70151,Palamu
Jharkhand,RAMGARH,70146,Hazaribag
Jharkhand,RANCHI,17622,Ranchi
Jharkhand,SAHEBGANJ,70154,Sahibganj
Jharkhand,SARAIKELA KHARSAWAN,70152,Pashchim Singhbhum
Jharkhand,SIMDEGA,70145,Gumla
Jharkhand,WEST SINGHBHUM,70152,Pashchim Singhbhum
Karnataka,BAGALKOT,70157,Bagalkot
Karnataka,BANGALORE RURAL,70158,Bangalore Rural
Karnataka,BELGAUM,17679,Belgaum
Karnataka,BELLARY,17680,Bellary
Karnataka,BENGALURU URBAN,70159,Bangalore Urban
Karnataka,BIDAR,17681,Bidar
Karnataka,BIJAPUR,17682,Bijapur
Karnataka,CHAMARAJANAGAR,70160,Chamrajnagar
Karnataka,CHIKBALLAPUR,17690,Kolar
Karnataka,CHIKMAGALUR,17683,Chikmagalur
Karnataka,CHITRADURGA,70161,Chitradurga
Karnataka,DAKSHIN KANNAD,17685,Dakshin Kannad
Karnataka,DAVANGERE,70162,Davanagere
Karnataka,DHARWAD,17686,Dharwad
Karnataka,GADAG,70163,Gadag
Karnataka,GULBARGA,17687,Gulbarga
Karnataka,HASSAN,17688,Hassan
Karnataka,HAVERI,70164,Haveri
Karnataka,KODAGU,17689,Kodagu
Karnataka,KOLAR,17690,Kolar
Karnataka,KOPPAL,70165,Koppal
Karnataka,MANDYA,17691,Mandya
Karnataka,MYSORE,17692,Mysore
Karnataka,RAICHUR,17693,Raichur
Karnataka,RAMANAGARA,70158,Bangalore Rural
Karnataka,SHIMOGA,17694,Shimoga
Karnataka,TUMKUR,17695,Tumkur
Karnataka,UDUPI,70166,Udupi
Karnataka,UTTAR KANNAD,17696,Uttar Kannand
Karnataka,YADGIR,17687,Gulbarga
Kerala,ALAPPUZHA,70298,Alappuzha
Kerala,ERNAKULAM,17699,Ernakulam
Kerala,IDUKKI,17700,Idukki
Kerala,KANNUR,17698,Kannur
Kerala,KASARAGOD,17701,Kasaragod
Kerala,KOLLAM,17707,Kollam
Kerala,KOTTAYAM,17702,Kottayam
Kerala,KOZHIKODE,17703,Kozhikode
Kerala,MALAPPURAM,17704,Malappuram
Kerala,PALAKKAD,17705,Palakkad
Kerala,PATHANAMTHITTA,17706,Pattanamtitta
Kerala,THIRUVANANTHAPURAM,17709,Thiruvananthapuram
Kerala,THRISSUR,17708,Thrissur
Kerala,WAYANAD,17710,Wayanad
Madhya Pradesh,ALIRAJPUR,17731,Jhabua
Madhya Pradesh,ANUPPUR,17748,Shahdol
Madhya Pradesh,ASHOKNAGAR,17726,Guna
Madhya Pradesh,BALAGHAT,17712,Balaghat
Madhya Pradesh,BARWANI,70170,Barwani
Madhya Pradesh,BETUL,17714,Betul
Madhya Pradesh,BHIND,17715,Bhind
Madhya Pradesh,BHOPAL,17716,Bhopal
Madhya Pradesh,BURHANPUR,17725,East Nimar
Madhya Pradesh,CHHATARPUR,17718,Chhatarpur
Madhya Pradesh,CHHINDWARA,17719,Chhindwara
Madhya Pradesh,DAMOH,17720,Damoh
Madhya Pradesh,DATIA,17721,Datia
Madhya Pradesh,DEWAS,17722,Dewas
Madhya Pradesh,DHAR,17723,Dhar
Madhya Pradesh,DINDORI,70172,Dindori
Madhya Pradesh,GUNA,17726,Guna
Madhya Pradesh,GWALIOR,17727,Gwalior
Madhya Pradesh,HARDA,70173,Harda
Madhya Pradesh,HOSHANGABAD,17728,Hoshangabad
Madhya Pradesh,INDORE,17729,Indore
Madhya Pradesh,JABALPUR,17730,Jabalpur
Madhya Pradesh,JHABUA,17731,Jhabua
Madhya Pradesh,KATNI,70174,Katni
Madhya Pradesh,KHANDWA,17725,East Nimar
Madhya Pradesh,KHARGONE,17756,West Nimar
Madhya Pradesh,MANDLA,17732,Mandla
Madhya Pradesh,MANDSAUR,17733,Mandsaur
Madhya Pradesh,MORENA,17734,Morena
Madhya Pradesh,NARSINGHPUR,17735,Narsinghpur
Madhya Pradesh,NEEMUCH,70175,Neemuch
Madhya Pradesh,PANNA,17736,Panna
Madhya Pradesh,RAISEN,17739,Raisen
Madhya Pradesh,RAJGARH,17741,Rajgarh
Madhya Pradesh,RATLAM,17742,Ratlam
Madhya Pradesh,REWA,17743,Rewa
Madhya Pradesh,SAGAR,17744,Sagar
Madhya Pradesh,SATNA,17745,Satna
Madhya Pradesh,SEHORE,17746,Sehore
Madhya Pradesh,SEONI,17747,Seoni
Madhya Pradesh,SHAHDOL,17748,Shahdol
Madhya Pradesh,SHAJAPUR,17749,Shajapur
Madhya Pradesh,SHEOPUR,70176,Sheopur
Madhya Pradesh,SHIVPURI,17750,Shivpuri
Madhya Pradesh,SIDHI,17751,Sidhi
Madhya Pradesh,SINGRAULI,17751,Sidhi
Madhya Pradesh,TIKAMGARH,17753,Tikamgarh
Madhya Pradesh,UJJAIN,17754,Ujjain
Madhya Pradesh,UMARIA,70177,Umaria
Madhya Pradesh,VIDISHA,17755,Vidisha
Maharashtra,AHMEDNAGAR,70178,Ahmednagar
Maharashtra,AKOLA,17758,Akola
Maharashtra,AMRAVATI,17759,Amravati
Maharashtra,AURANGABAD,17786,Aurangabad
Maharashtra,BEED,70179,Bid
Maharashtra,BHANDARA,17761,Bhandara
Maharashtra,BULDHANA,17762,Buldana
Maharashtra,CHANDRAPUR,17763,Chandrapur
Maharashtra,DHULE,17764,Dhule
Maharashtra,GADCHIROLI,17765,Garhchiroli
Maharashtra,GONDIA,70180,Gondiya
Maharashtra,HINGOLI,70181,Hingoli
Maharashtra,JALGAON,17767,Jalgaon
Maharashtra,JALNA,70182,Jalna
Maharashtra,KOLHAPUR,17769,Kolhapur
Maharashtra,LATUR,17770,Latur
Maharashtra,NAGPUR,17771,Nagpur
Maharashtra,NANDED,17772,Nanded
Maharashtra,NANDURBAR,70185,Nandurbar
Maharashtra,NASHIK,17773,Nashik
Maharashtra,OSMANABAD,17774,Osmanabad
Maharashtra,PALGHAR,17783,Thane
Maharashtra,PARBHANI,70186,Parbhani
Maharashtra,PUNE,17776,Pune
Maharashtra,RAIGAD,17777,Raigarh
Maharashtra,RATNAGIRI,17778,Ratnagiri
Maharashtra,SANGLI,17780,Sangli
Maharashtra,SATARA,17781,Satara
Maharashtra,SINDHUDURG,17779,Sindhudurg
Maharashtra,SOLAPUR,17782,Solapur
Maharashtra,THANE,17783,Thane
Maharashtra,WARDHA,17784,Wardha
Maharashtra,WASHIM,70187,Washim
Maharashtra,YAVATMAL,17785,Yavatmal
Manipur,BISHNUPUR,70188,Bishnupur
Manipur,CHANDEL,70189,Chandel
Manipur,CHURACHANDPUR,70190,Churachandpur
Manipur,IMPHAL EAST,70191,East Imphal
Manipur,IMPHAL WEST,70196,West Imphal
Manipur,SENAPATI,70192,Senapati
Manipur,TAMENGLONG,70193,Tamenglong
Manipur,THOUBAL,70194,Thoubal
Manipur,UKHRUL,70195,Ukhrul
Meghalaya,EAST GARO HILLS,17793,East Garo Hills
Meghalaya,EAST JAINTIA HILLS,17795,Jaintia Hills
Meghalaya,EAST KHASI HILLS,17794,East Khasi Hills
Meghalaya,RI BHOI,70197,Ri-Bhoi
Meghalaya,SOUTH GARO HILLS,70198,South Garo Hills
Meghalaya,WEST GARO HILLS,17796,West Garo Hills
Meghalaya,WEST KHASI HILLS,17797,West Khasi Hills
Mizoram,AIZAWL,17798,Aizawl
Mizoram,CHAMPHAI,70199,Champhai
Mizoram,KOLASIB,70200,Kolasib
Mizoram,LAWNGTLAI,70201,Lawngtlai
Mizoram,LUNGLEI,17800,Lunglei
Mizoram,MAMIT,70202,Mamit
Mizoram,SAIHA,70203,Saiha
Mizoram,SERCHHIP,70204,Serchhip
Nagaland,DIMAPUR,70205,Dimapur
Nagaland,KIPHIRE,17805,Tuensang
Nagaland,KOHIMA,17801,Kohima
Nagaland,LONGLENG,17805,Tuensang
Nagaland,MOKOKCHUNG,17802,Mokokchung
Nagaland,MON,17803,Mon
Nagaland,PEREN,17801,Kohima
Nagaland,PHEK,17804,Phek
Nagaland,TUENSANG,17805,Tuensang
Nagaland,WOKHA,17806,Wokha
Nagaland,ZUNHEBOTO,17807,Zunheboto
Odisha,ANUGUL,70206,Angul
Odisha,BALANGIR,70210,Bolangir
Odisha,BALESHWAR,70207,Baleshwar
Odisha,BARGARH,70208,Baragarh
Odisha,BHADRAK,70209,Bhadrak
Odisha,BOUDH,70211,Boudh
Odisha,CUTTACK,17809,Cuttack
Odisha,DEOGARH,70212,Deogarh
Odisha,DHENKANAL,17810,Dhenkanal
Odisha,GAJAPATI,70213,Gajapati
Odisha,GANJAM,17811,Ganjam
Odisha,JAGATSINGHAPUR,70214,Jagatsinghpur
Odisha,JAJAPUR,70215,Jajpur
Odisha,JHARSUGUDA,70216,Jharsuguda
Odisha,KALAHANDI,17812,Kalahandi
Odisha,KANDHAMAL,70217,Kandhamal
Odisha,KENDRAPARA,70218,Kendrapara
Odisha,KENDUJHAR,17813,Keonjhar
Odisha,KHORDHA,70219,Khordha
Odisha,KORAPUT,17814,Koraput
Odisha,MALKANGIRI,70220,Malkangiri
Odisha,MAYURBHANJ,17816,Mayurbhanj
Odisha,NABARANGPUR,70221,Nabarangpur
Odisha,NAYAGARH,70222,Nayagarh
Odisha,NUAPADA,70223,Nuapada
Odisha,PURI,17818,Puri
Odisha,RAYAGADA,70224,Rayagada
Odisha,SAMBALPUR,17819,Sambalpur
Odisha,SONEPUR,70225,Sonepur
Odisha,SUNDARGARH,17820,Sundargarh
Puducherry,KARAIKAL,70226,Karaikal
Puducherry,MAHE,70227,Mahe
Puducherry,PONDICHERRY,70228,Puducherry
Puducherry,YANAM,70229,Yanam
Punjab,AMRITSAR,17821,Amritsar
Punjab,BARNALA,17833,Sangrur
Punjab,BATHINDA,17822,Bathinda
Punjab,FARIDKOT,70230,Faridkot
Punjab,FATEHGARH SAHIB,70231,Fatehgarh Sahib
Punjab,FAZILKA,17825,Firozpur
Punjab,FIROZEPUR,17825,Firozpur
Punjab,GURDASPUR,457,Gurdaspur
Punjab,HOSHIARPUR,17827,Hoshiarpur
Punjab,JALANDHAR,17828,Jalandhar
Punjab,KAPURTHALA,17829,Kapurthala
Punjab,LUDHIANA,17830,Ludhiana
Punjab,MANSA,70232,Mansa
Punjab,MOGA,70233,Moga
Punjab,MUKTSAR,70234,Muktsar
Punjab,NAWANSHAHR,70235,Nawan Shehar
Punjab,PATHANKOT,457,Gurdaspur
Punjab,PATIALA,17831,Patiala
Punjab,RUPNAGAR,17832,Rupnagar
Punjab,SANGRUR,17833,Sangrur
Punjab,S.A.S NAGAR,17831,Patiala
Punjab,TARN TARAN,17821,Amritsar
Rajasthan,AJMER,17834,Ajmer
Rajasthan,ALWAR,17835,Alwar
Rajasthan,BANSWARA,17836,Banswara
Rajasthan,BARAN,70236,Baran
Rajasthan,BARMER,17837,Barmer
Rajasthan,BHARATPUR,17838,Bharatpur
Rajasthan,BHILWARA,17839,Bhilwara
Rajasthan,BIKANER,17840,Bikaner
Rajasthan,BUNDI,17841,Bundi
Rajasthan,CHITTORGARH,17842,Chittaurgarh
Rajasthan,CHURU,17843,Churu
Rajasthan,DAUSA,70237,Dausa
Rajasthan,DHOLPUR,17844,Dhaulpur
Rajasthan,DUNGARPUR,17845,Dungarpur
Rajasthan,GANGANAGAR,17846,Ganganagar
Rajasthan,HANUMANGARH,70238,Hanumangarh
Rajasthan,JAIPUR,17847,Jaipur
Rajasthan,JAISALMER,17848,Jaisalmer
Rajasthan,JALORE,17849,Jalor
Rajasthan,JHALAWAR,17850,Jhalawar
Rajasthan,JHUNJHUNU,17851,Jhunjhunun
Rajasthan,JODHPUR,17852,Jodhpur
Rajasthan,KARAULI,70239,Karauli
Rajasthan,KOTA,17853,Kota
Rajasthan,NAGAUR,17854,Nagaur
Rajasthan,PALI,17855,Pali
Rajasthan,PRATAPGARH,,
Rajasthan,RAJSAMAND,70240,Rajsamand
Rajasthan,SAWAI MADHOPUR,17856,Sawai Madhopur
Rajasthan,SIKAR,17857,Sikar
Rajasthan,SIROHI,17858,Sirohi
Rajasthan,TONK,17859,Tonk
Rajasthan,UDAIPUR,17860,Udaipur
Sikkim,EAST DISTRICT,17861,East
Sikkim,NORTH DISTRICT,17862,North Sikkim
Sikkim,SOUTH DISTRICT,17863,South Sikkim
Sikkim,WEST DISTRICT,17864,West Sikkim
Tamil Nadu,ARIYALUR,70241,Ariyalur
Tamil Nadu,COIMBATORE,17867,Coimbatore
Tamil Nadu,CUDDALORE,70243,Cuddalore
Tamil Nadu,DHARMAPURI,17868,Dharmapuri
Tamil Nadu,DINDIGUL,17877,Dindigul
Tamil Nadu,ERODE,17875,Erode
Tamil Nadu,KANCHIPURAM,70244,Kancheepuram
Tamil Nadu,KANNIYAKUMARI,17870,Kanniyakumari
Tamil Nadu,KARUR,70245,Karur
Tamil Nadu,KRISHNAGIRI,17868,Dharmapuri
Tamil Nadu,MADURAI,70246,Madurai
Tamil Nadu,NAGAPATTINAM,70247,Nagapattinam
Tamil Nadu,NAMAKKAL,70248,Namakkal
Tamil Nadu,PERAMBALUR,70249,Perambalur
Tamil Nadu,PUDUKKOTTAI,17876,Pudukkottai
Tamil Nadu,RAMANATHAPURAM,17878,Ramanathapuram
Tamil Nadu,SALEM,17879,Salem
Tamil Nadu,SIVAGANGA,17882,Sivaganga
Tamil Nadu,THANJAVUR,17881,Thanjavur
Tamil Nadu,THENI,70250,Theni
Tamil Nadu,THE NILGIRIS,17873,Nilgiris
Tamil Nadu,THIRUVALLUR,70251,Thiruvallur
Tamil Nadu,THIRUVARUR,70252,Thiruvarur
Tamil Nadu,TIRUCHIRAPPALLI,17883,Tiruchchirappalli
Tamil Nadu,TIRUNELVELI,17884,Tirunelveli Kattabo
Tamil Nadu,TIRUPPUR,,
Tamil Nadu,TIRUVANNAMALAI,70253,Tiruvannamalai
Tamil Nadu,TUTICORIN,17866,Thoothukudi
Tamil Nadu,VELLORE,70254,Vellore
Tamil Nadu,VILLUPURAM,70255,Villupuram
Tamil Nadu,VIRUDHUNAGAR,17869,Virudhunagar
Tripura,DHALAI,70256,Dhalai
Tripura,NORTH TRIPURA,17885,North Tripura
Tripura,SOUTH TRIPURA,17886,South Tripura
Tripura,WEST TRIPURA,17887,West Tripura
Uttarakhand,ALMORA,70280,Almora
Uttarakhand,BAGESHWAR,70281,Bageshwar
Uttarakhand,CHAMOLI,636,Chamoli
Uttarakhand,CHAMPAWAT,70283,Champawat
Uttarakhand,DEHRADUN,17903,Dehra Dun
Uttarakhand,HARIDWAR,70284,Haridwar
Uttarakhand,NAINITAL,70285,Naini Tal
Uttarakhand,PAURI GARHWAL,17910,Pauri Garhwal
Uttarakhand,PITHORAGARH,642,Pithoragarh
Uttarakhand,RUDRA PRAYAG,70286,Rudra Prayag
Uttarakhand,TEHRI GARHWAL,70287,Tehri Garhwal
Uttarakhand,UDAM SINGH NAGAR,70288,Udham Singh Nagar
Uttarakhand,UTTAR KASHI,646,Uttarkashi
Uttar Pradesh,AGRA,17888,Agra
Uttar Pradesh,ALIGARH,17889,Aligarh
Uttar Pradesh,ALLAHABAD,17890,Allahabad
Uttar Pradesh,AMBEDKAR NAGAR,70257,Ambedkar Nagar
Uttar Pradesh,AMETHI,,
Uttar Pradesh,AMROHA,70267,Jyotiba Phule Nagar
Uttar Pradesh,AURAIYA,70258,Auraiya
Uttar Pradesh,AZAMGARH,17892,Azamgarh
Uttar Pradesh,BAGHPAT,70260,Baghpat
Uttar Pradesh,BAHRAICH,17893,Bahraich
Uttar Pradesh,BALLIA,17894,Ballia
Uttar Pradesh,BALRAMPUR,70261,Balrampur
Uttar Pradesh,BANDA,17895,Banda
Uttar Pradesh,BARABANKI,17896,Bara Banki
Uttar Pradesh,BAREILLY,17897,Bareilly
Uttar Pradesh,BASTI,17898,Basti
Uttar Pradesh,BIJNOR,17899,Bijnor
Uttar Pradesh,BUDAUN,70259,Badaun
Uttar Pradesh,BULANDSHAHR,17901,Bulandshahr
Uttar Pradesh,CHANDAULI,70262,Chandauli
Uttar Pradesh,CHITRAKOOT,70263,Chitrakoot
Uttar Pradesh,DEORIA,17904,Deoria
Uttar Pradesh,ETAH,17905,Etah
Uttar Pradesh,ETAWAH,17906,Etawah
Uttar Pradesh,FAIZABAD,17907,Faizabad
