State,,District,GAUL_CODE,GAUL_NAME
Chhattisgarh,70075,Kawardha,70111,Kanker
Chhattisgarh,70075,Kondagaon,70105,Bastar
Chhattisgarh,70075,Korba,70113,Korba
Chhattisgarh,70075,Koriya,70114,Koriya
Chhattisgarh,70075,Mahasamund,70115,Mahasamund
Chhattisgarh,70075,Mungeli,70106,Bilaspur
Chhattisgarh,70075,Narayanpur,70105,Bastar
Chhattisgarh,70075,Raigarh,70297,Raigarh
Chhattisgarh,70075,Raipur,70116,Raipur
Chhattisgarh,70075,Raj Nandgaon,70117,Raj Nandgaon
Chhattisgarh,70075,Sukma,70107,Dantewada
Chhattisgarh,70075,Surajpur,70118,Surguja
Chhattisgarh,70075,Surguja,70118,Surguja
Dadra and Nagar Haveli,70076,Dadra and Nagar Haveli,70119,Dadra and Nagar Haveli
Delhi,1489,Delhi,17633,Delhi
Goa,1490,Goa,70122,Goa
Goa,1490,North Goa,70122,Goa
Goa,1490,South Goa,70122,Goa
Gujarat,1491,Ahmadabad,17635,Ahmadabad
Gujarat,1491,Amreli,17636,Amreli
Gujarat,1491,Anand,70124,Anand
Gujarat,1491,Banas Kantha,17637,Banas Kantha
Gujarat,1491,Bharuch,17638,Bharuch
Gujarat,1491,Bhavnagar,17639,Bhavnagar
Gujarat,1491,Dahod,70125,Dahod
Gujarat,1491,Gandhinagar,17640,Gandhinagar
Gujarat,1491,Jamnagar,17641,Jamnagar
Gujarat,1491,Junagadh,17642,Junagadh
Gujarat,1491,Kachchh,17643,Kachchh
Gujarat,1491,Kheda,17644,Kheda
Gujarat,1491,Mahesana,17645,Mahesana
Gujarat,1491,Narmada,70126,Narmada
Gujarat,1491,Navsari,70127,Navsari
Gujarat,1491,Panch Mahals,70128,Panch Mahals
Gujarat,1491,Patan,70129,Patan
Gujarat,1491,Porbandar,70130,Porbandar
Gujarat,1491,Rajkot,17647,Rajkot
Gujarat,1491,Sabar Kantha,17648,Sabar Kantha
Gujarat,1491,Surat,17649,Surat
Gujarat,1491,Surendranagar,17650,Surendranagar
Gujarat,1491,Tapi,17649,Surat
Gujarat,1491,The Dangs,17651,The Dangs
Gujarat,1491,Vadodara,17652,Vadodara
Gujarat,1491,Valsad,17653,Valsad
Haryana,1492,Ambala,17654,Ambala
Haryana,1492,Bhiwani,17655,Bhiwani
Haryana,1492,Faridabad,70131,Faridabad
Haryana,1492,Fatehabad,70132,Fatehabad
Haryana,1492,Gurgaon,17657,Gurgaon
Haryana,1492,Hisar,17658,Hisar
Haryana,1492,Jhajjar,70133,Jhajjar
Haryana,1492,Jind,17659,Jind
Haryana,1492,Kaithal,70134,Kaithal
Haryana,1492,Karnal,17660,Karnal
Haryana,1492,Kurukshetra,17661,Kurukshetra
Haryana,1492,Mahendragarh,17662,Mahendragarh
Haryana,1492,Mewat,17657,Gurgaon
Haryana,1492,Palwal,70131,Faridabad
Haryana,1492,Panchkula,70135,Panchkula
Haryana,1492,Panipat,70136,Panipat
Haryana,1492,Rewari,70137,Rewari
Haryana,1492,Rohtak,17663,Rohtak
Haryana,1492,Sirsa,17664,Sirsa
Haryana,1492,Sonepat,17665,Sonepat
Haryana,1492,Yamuna Nagar,70138,Yamuna Nagar
Himachal Pradesh,1493,Bilaspur,17666,Bilaspur
Himachal Pradesh,1493,Chamba,188,Chamba
