State,,District,GAUL_CODE,GAUL_NAME
Tripura,1509,South Tripura,17886,South Tripura
Uttarakhand,70082,Almora,70280,Almora
Uttarakhand,70082,Bageshwar,70281,Bageshwar
Uttarakhand,70082,Chamoli,636,Chamoli
Uttarakhand,70082,Champawat,70283,Champawat
Uttarakhand,70082,Dehra Dun,17903,Dehra Dun
Uttarakhand,70082,Garhwal,17910,Pauri Garhwal
Uttarakhand,70082,Haridwar,70284,Haridwar
Uttarakhand,70082,Naini Tal,70285,Naini Tal
Uttarakhand,70082,Pithoragarh,642,Pithoragarh
Uttarakhand,70082,Rudra Prayag,70286,Rudra Prayag
Uttarakhand,70082,Tehri Garhwal,70287,Tehri Garhwal
Uttarakhand,70082,Udham Singh Nagar,70288,Udham Singh Nagar
Uttarakhand,70082,Uttarkashi,646,Uttarkashi
Uttar Pradesh,70081,Agra,17888,Agra
Uttar Pradesh,70081,Aligarh,17889,Aligarh
Uttar Pradesh,70081,Allahabad,17890,Allahabad
Uttar Pradesh,70081,Ambedkar Nagar,70257,Ambedkar Nagar
Uttar Pradesh,70081,Auraiya,70258,Auraiya
Uttar Pradesh,70081,Azamgarh,17892,Azamgarh
Uttar Pradesh,70081,Badaun,70259,Badaun
Uttar Pradesh,70081,Baghpat,70260,Baghpat
Uttar Pradesh,70081,Bahraich,17893,Bahraich
Uttar Pradesh,70081,Ballia,17894,Ballia
Uttar Pradesh,70081,Balrampur,70261,Balrampur
Uttar Pradesh,70081,Banda,17895,Banda
Uttar Pradesh,70081,Bara Banki,17896,Bara Banki
Uttar Pradesh,70081,Bareilly,17897,Bareilly
Uttar Pradesh,70081,Basti,17898,Basti
Uttar Pradesh,70081,Bijnor,17899,Bijnor
Uttar Pradesh,70081,Bulandshahr,17901,Bulandshahr
Uttar Pradesh,70081,Chandauli,70262,Chandauli
Uttar Pradesh,70081,Chitrakoot,70263,Chitrakoot
Uttar Pradesh,70081,Deoria,17904,Deoria
Uttar Pradesh,70081,Etah,17905,Etah
Uttar Pradesh,70081,Etawah,17906,Etawah
Uttar Pradesh,70081,Faizabad,17907,Faizabad
Uttar Pradesh,70081,Farrukhabad,17908,Farrukhabad
Uttar Pradesh,70081,Fatehpur,17909,Fatehpur
Uttar Pradesh,70081,Firozabad,70264,Firozabad
Uttar Pradesh,70081,Gautam Buddha Nagar,70265,Gautam Buddha Nagar
Uttar Pradesh,70081,Ghaziabad,17911,Ghaziabad
Uttar Pradesh,70081,Ghazipur,17912,Ghazipur
Uttar Pradesh,70081,Gonda,17913,Gonda
Uttar Pradesh,70081,Gorakhpur,17914,Gorakhpur
Uttar Pradesh,70081,Hamirpur,17915,Hamirpur
Uttar Pradesh,70081,Hardoi,17916,Hardoi
Uttar Pradesh,70081,Hathras,70266,Hathras
Uttar Pradesh,70081,Jalaun,17917,Jalaun
Uttar Pradesh,70081,Jaunpur,17918,Jaunpur
Uttar Pradesh,70081,Jhansi,17919,Jhansi
Uttar Pradesh,70081,Jyotiba Phule Nagar,70267,Jyotiba Phule Nagar
Uttar Pradesh,70081,Kannauj,70268,Kannauj
Uttar Pradesh,70081,Kanpur,70269,Kanpur Dehat
Uttar Pradesh,70081,Kanpur Dehat,17920,Kanpur
Uttar Pradesh,70081,Kasganj,17905,Etah
Uttar Pradesh,70081,Kaushambi,70270,Kaushambi
Uttar Pradesh,70081,Kushinagar,17921,Lakhimpur Kheri
Uttar Pradesh,70081,Lakhimpur Kheri,70271,Kushinagar
Uttar Pradesh,70081,Lalitpur,17922,Lalitpur
Uttar Pradesh,70081,Lucknow,17923,Lucknow
Uttar Pradesh,70081,Maharajganj,70272,Maharajganj
Uttar Pradesh,70081,Mahoba,70273,Mahoba
Uttar Pradesh,70081,Mainpuri,17924,Mainpuri
Uttar Pradesh,70081,Mathura,17925,Mathura
Uttar Pradesh,70081,Mau,70274,Mau
Uttar Pradesh,70081,Meerut,17926,Meerut
Uttar Pradesh,70081,Mirzapur,17927,Mirzapur
Uttar Pradesh,70081,Moradabad,17928,Moradabad
Uttar Pradesh,70081,Muzaffarnagar,17929,Muzaffarnagar
Uttar Pradesh,70081,Pilibhit,17931,Pilibhit
Uttar Pradesh,70081,Pratapgarh,17933,Pratapgarh
Uttar Pradesh,70081,Rae Bareli,17934,Rae Bareli
Uttar Pradesh,70081,Rampur,17935,Rampur
Uttar Pradesh,70081,Saharanpur,17936,Saharanpur
Uttar Pradesh,70081,Sant Kabir Nagar,70275,Sant Kabir Nagar
Uttar Pradesh,70081,Sant Ravi Das Nagar,70276,Sant Ravi Das Nagar
Uttar Pradesh,70081,Shahjahanpur,17937,Shahjahanpur
Uttar Pradesh,70081,Shravasti,70277,Shravasti
Uttar Pradesh,70081,Siddharth Nagar,70278,Siddharth Nagar
Uttar Pradesh,70081,Sitapur,17938,Sitapur
Uttar Pradesh,70081,Sonbhadra,70279,Sonbhadra
Uttar Pradesh,70081,Sultanpur,17939,Sultanpur
Uttar Pradesh,70081,Unnao,17941,Unnao
Uttar Pradesh,70081,Varanasi,17943,Varanasi
West Bengal,1511,Bankura,17945,Bankura
West Bengal,1511,Barddhaman,17946,Barddhaman
West Bengal,1511,Birbhum,17947,Birbhum
West Bengal,1511,Dakshin Dinajpur,70290,Dakshin Dinajpur
West Bengal,1511,Darjiling,17948,Darjiling
West Bengal,1511,East Midnapore,70291,East Midnapore
West Bengal,1511,Haora,17949,Haora
West Bengal,1511,Hugli,17950,Hugli
West Bengal,1511,Jalpaiguri,17951,Jalpaiguri
West Bengal,1511,Kochbihar,17952,Kochbihar
West Bengal,1511,Maldah,17953,Maldah
West Bengal,1511,Murshidabad,17955,Murshidabad
West Bengal,1511,Nadia,17956,Nadia
West Bengal,1511,North 24 Parganas,70293,North 24 Parganas
West Bengal,1511,Puruliya,17957,Puruliya
West Bengal,1511,South 24 Parganas,70294,South 24 Parganas
West Bengal,1511,Uttar Dinajpur,70295,Uttar Dinajpur
West Bengal,1511,West Midnapore,70296,West Midnapore
