"ADM0_CODE","ADM0_NAME","ADM1_CODE","ADM1_NAME","ADM2_CODE","ADM2_NAME"
115,"India",70076,"Dadra and Nagar Haveli",70119,"Dadra and Nagar Haveli"
115,"India",70077,"Daman and Diu",70120,"Daman"
115,"India",70077,"Daman and Diu",70121,"Junagadh"
115,"India",1489,"Delhi",17633,"Delhi"
115,"India",1490,"Goa",70122,"Goa"
115,"India",1491,"Gujarat",17635,"Ahmadabad"
115,"India",1491,"Gujarat",17636,"Amreli"
115,"India",1491,"Gujarat",70124,"Anand"
115,"India",1491,"Gujarat",17637,"Banas Kantha"
115,"India",1491,"Gujarat",17638,"Bharuch"
115,"India",1491,"Gujarat",17639,"Bhavnagar"
115,"India",1491,"Gujarat",70125,"Dahod"
115,"India",1491,"Gujarat",17640,"Gandhinagar"
115,"India",1491,"Gujarat",17641,"Jamnagar"
115,"India",1491,"Gujarat",17642,"Junagadh"
115,"India",1491,"Gujarat",17643,"Kachchh"
115,"India",1491,"Gujarat",17644,"Kheda"
115,"India",1491,"Gujarat",17645,"Mahesana"
115,"India",1491,"Gujarat",70126,"Narmada"
115,"India",1491,"Gujarat",70127,"Navsari"
115,"India",1491,"Gujarat",70128,"Panch Mahals"
115,"India",1491,"Gujarat",70129,"Patan"
115,"India",1491,"Gujarat",70130,"Porbandar"
115,"India",1491,"Gujarat",17647,"Rajkot"
115,"India",1491,"Gujarat",17648,"Sabar Kantha"
115,"India",1491,"Gujarat",17649,"Surat"
115,"India",1491,"Gujarat",17650,"Surendranagar"
115,"India",1491,"Gujarat",17651,"The Dangs"
115,"India",1491,"Gujarat",17652,"Vadodara"
115,"India",1491,"Gujarat",17653,"Valsad"
115,"India",1492,"Haryana",17654,"Ambala"
115,"India",1492,"Haryana",17655,"Bhiwani"
115,"India",1492,"Haryana",70131,"Faridabad"
115,"India",1492,"Haryana",70132,"Fatehabad"
115,"India",1492,"Haryana",17657,"Gurgaon"
115,"India",1492,"Haryana",17658,"Hisar"
115,"India",1492,"Haryana",70133,"Jhajjar"
115,"India",1492,"Haryana",17659,"Jind"
115,"India",1492,"Haryana",70134,"Kaithal"
115,"India",1492,"Haryana",17660,"Karnal"
115,"India",1492,"Haryana",17661,"Kurukshetra"
115,"India",1492,"Haryana",17662,"Mahendragarh"
115,"India",1492,"Haryana",70135,"Panchkula"
115,"India",1492,"Haryana",70136,"Panipat"
115,"India",1492,"Haryana",70137,"Rewari"
115,"India",1492,"Haryana",17663,"Rohtak"
115,"India",1492,"Haryana",17664,"Sirsa"
115,"India",1492,"Haryana",17665,"Sonepat"
115,"India",1492,"Haryana",70138,"Yamuna Nagar"
115,"India",1493,"Himachal Pradesh",17666,"Bilaspur"
115,"India",1493,"Himachal Pradesh",188,"Chamba"
115,"India",1493,"Himachal Pradesh",17668,"Hamirpur"
115,"India",1493,"Himachal Pradesh",17669,"Kangra"
115,"India",1493,"Himachal Pradesh",191,"Kinnaur"
115,"India",1493,"Himachal Pradesh",17671,"Kullu"
115,"India",1493,"Himachal Pradesh",193,"Lahul & Spiti"
115,"India",1493,"Himachal Pradesh",17673,"Mandi"
115,"India",1493,"Himachal Pradesh",17674,"Shimla"
115,"India",1493,"Himachal Pradesh",17675,"Sirmaur"
115,"India",1493,"Himachal Pradesh",17676,"Solan"
115,"India",1493,"Himachal Pradesh",17677,"Una"
115,"India",40781,"Jammu & Kashmir",199,"Anantnag"
115,"India",40781,"Jammu & Kashmir",200,"Badgam"
115,"India",40781,"Jammu & Kashmir",202,"Baramulla"
115,"India",40781,"Jammu & Kashmir",203,"Doda"
115,"India",40781,"Jammu & Kashmir",205,"Jammu"
115,"India",40781,"Jammu & Kashmir",206,"Kargil"
115,"India",40781,"Jammu & Kashmir",207,"Kathua"
115,"India",40781,"Jammu & Kashmir",210,"Kupwara"
115,"India",40781,"Jammu & Kashmir",211,"Leh (Ladakh)"
115,"India",40781,"Jammu & Kashmir",212,"Poonch"
115,"India",40781,"Jammu & Kashmir",213,"Pulwama"
115,"India",40781,"Jammu & Kashmir",214,"Rajouri"
