"CROP"
"Barley (Hordeumvulgare)"
"Cholum or Jowar (Sorghum Vulgare)-Kharif"
"Cholum or Jowar (Sorghum Vulgare)-Rabi"
"Cholum or Jowar (Sorghum Vulgare)-Total"
"Condiments and Spices"
"Cotton (Gossyptumsp)"
"Cumbu or Bajra (Pennisetumtyphoideum)"
"Fodder Crops"
"Fruits and Vegetables Including root crops"
"Gram (Cicerarietinum)"
"Groundnut (Arachishypozes)"
"Linseed (Linumusitatissimum)"
"Maize (Zea Mays"
"Other Cereals and Millets-Kharif"
"Other Cereals and Millets-Rabi"
"Other Cereals and Millets-Total"
"Other Food Crops"
"Other Non-food Crops"
"Other Pulses (Excluding Gram and Tur or Arhar)-Kharif"
"Other Pulses (Excluding Gram and Tur or Arhar)-Rabi"
"Other Pulses (Excluding Gram and Tur or Arhar)-Total"
"Others"
"Ragi or Marua (Elusine Coracana)"
"Rape & Mustard (Brassicasp)"
"Rice (Oryza Sativa)-Autumn"
"Rice (Oryza Sativa)-Summer"
"Rice (Oryza Sativa)-Total"
"Rice (Oryza Sativa)-Winter"
"Sesamum (Til or Jinjili) (Sesamum indicum)"
"Soyabean"
"Sugarcane (Saccharumofficinarum)"
"Sunflower"
"Tobacco (Nicotianatobacum & N. Rustica)"
"Total"
"Total Cereals and Millets"
"Total Food Crops"
"Total Food Grains"
"Total Non-food Crops"
"Total Pulses"
"Total (Under all Crops)"
"Tur or Arhar (Cajanusindicus)"
"Wheat (Triticumsativum)"
